Position,Track Name,Artist,Streams,URL,Date
1,The Box,Roddy Ricch,1812103,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,1/1/2020
2,ROXANNE,Arizona Zervas,1400495,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,1/1/2020
3,Circles,Post Malone,1186861,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,1/1/2020
4,BOP,DaBaby,1130123,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,1/1/2020
5,Bandit (with YoungBoy Never Broke Again),Juice WRLD,968612,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,1/1/2020
6,Dance Monkey,Tones And I,916609,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,1/1/2020
7,Futsal Shuffle 2020,Lil Uzi Vert,893092,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,1/1/2020
8,Falling,Trevor Daniel,872244,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,1/1/2020
9,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,786856,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,1/1/2020
10,Ballin' (with Roddy Ricch),Mustard,772662,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,1/1/2020
11,bad guy,Billie Eilish,717321,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,1/1/2020
12,everything i wanted,Billie Eilish,691325,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,1/1/2020
13,Suicidal,YNW Melly,682998,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,1/1/2020
14,OUT WEST (feat. Young Thug),JACKBOYS,680820,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,1/1/2020
15,Adore You,Harry Styles,676253,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,1/1/2020
16,Blinding Lights,The Weeknd,670492,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,1/1/2020
17,HIGHEST IN THE ROOM,Travis Scott,654571,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,1/1/2020
18,hot girl bummer,blackbear,634027,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,1/1/2020
19,Don't Start Now,Dua Lipa,622304,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,1/1/2020
20,My Oh My (feat. DaBaby),Camila Cabello,621539,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,1/1/2020
21,"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",French Montana,620284,https://open.spotify.com/track/7ntUbTIwmwOD6ygCMRZT6e,1/1/2020
22,Heartless,The Weeknd,613239,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,1/1/2020
23,Suge,DaBaby,607559,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,1/1/2020
24,VIBEZ,DaBaby,605164,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM,1/1/2020
25,Truth Hurts,Lizzo,599849,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,1/1/2020
26,Woah,Lil Baby,596844,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F,1/1/2020
27,Watermelon Sugar,Harry Styles,583625,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,1/1/2020
28,No Idea,Don Toliver,580241,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,1/1/2020
29,Lucid Dreams,Juice WRLD,579125,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,1/1/2020
30,Memories,Maroon 5,578449,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,1/1/2020
31,Someone You Loved,Lewis Capaldi,576490,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,1/1/2020
32,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,564699,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,1/1/2020
33,Ransom,Lil Tecca,521428,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,1/1/2020
34,Robbery,Juice WRLD,521072,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,1/1/2020
35,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,513884,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m,1/1/2020
36,Money In The Grave (Drake ft. Rick Ross),Drake,486281,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,1/1/2020
37,223's (feat. 9lokknine),YNW Melly,485460,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T,1/1/2020
38,Señorita,Shawn Mendes,485432,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,1/1/2020
39,Lose You To Love Me,Selena Gomez,476592,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,1/1/2020
40,No Guidance (feat. Drake),Chris Brown,471141,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,1/1/2020
41,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,454923,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd,1/1/2020
42,Wow.,Post Malone,448286,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,1/1/2020
43,Stuck In A Dream (feat. Gunna),Lil Mosey,444279,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ,1/1/2020
